Event ID;Station ID;Nb.photos / videos;Start;End ;Event duration (h:mn:sec);Date;Station ID_1;Nb.ind;Nb.males;Nb.females;Nb.Adults;Nb.Subadults;Nb.Juvenils;Undetermined Adult;Activities;Mouvement;Comments;Photos/Vidéos;Other observations
5-7;5;4;11:05:29;11:07:20;00:01:00;15/06/2016;G4;28;5;8;16;8;4;3;Travelling;ND;;Videos;
5-10;5;2;11:31:19;11:31:52;00:00:00;15/06/2016;G4;25;5;7;18;5;2;6;Travelling;D;;Videos;
5-43;5;4;08:31:12;08:33:53;00:02:00;22/06/2016;G4;19;1;1;15;1;3;13;"Rest; Food";S;;Videos;
9-4;9;16;09:50:02;09:52:25;00:02:00;23/06/2016;G10;8;1;0;6;0;2;5;"Rest; Social";S;;Photos;
5-49;5;1;15:03:31;15:03:31;00:00:00;24/06/2016;G4;0;;;0;;;;;;EMPTY;;
5-56;5;2;10:33:48;10:34:24;00:00:00;27/06/2016;G4;5;1;0;3;0;2;2;"Rest;Social";S;;Video;
5-67a;5;4;09:05:56;09:22:50;00:16:00;30/06/2016;G4;2;1;1;2;0;0;0;"Rest; Social";S;;Videos;
5-67b;5;11;09:38:17;09:57:45;00:19:00;30/06/2016;G4;8;4;2;6;2;0;0;"Rest; Social; Food";D;Quelques allers-retours, avec un ou plusieurs arrets pour certains;Videos;
9-9;9;13;13:03:02;13:13:14;00:10:00;03/07/2016;G10;3;2;1;3;0;0;0;Rest, Food;ND;;Photos;
9-11;9;14;12:44:19;12:46:50;00:02:00;04/07/2016;G10;2;1;1;2;0;0;0;Food;ND;;Photos;Male blessé posterieur droit
5-98;5;38;12:06:46;12:08:21;00:01:00;06/07/2016;G4;22;5;7;16;5;1;4;;D;;Photos;
5-103;5;38;13:28:28;13:30:13;00:01:00;07/07/2016;G4;26;4;10;17;8;1;3;;ND;;Photos;
9-17;9;30;12:39:44;12:42:41;00:02:00;08/07/2016;G10;9;5;0;6;3;0;1;Food;S;;Photos;
9-18;9;8;10:41:48;10:42:16;00:00:00;11/07/2016;G10;9;4;1;6;3;0;1;Travelling;D;;Photos;
5-278;5;139;12:38:17;12:52:54;00:14:00;17/07/2016;G4;38;7;9;21;15;2;5;Travelling, Social;D;;Photos;
10-43;10;1;12:18:12;12:18:12;00:00:00;18/07/2016;G2;3;1;0;1;1;1;0;Travelling;D;;Vidéo;
5-291;5;76;11:32:16;11:35:43;00:03:00;20/07/2016;G4;36;4;6;19;13;4;9;Travelling, Social;;;Photos;
5-295;5;1;10:12:26;10:12:26;00:00:00;21/07/2016;G4;1;1;0;1;0;0;0;Travelling;S;1 PHOTO, vu la direction de l'individu, bizarre que la caméra ne l'ai prise qu'a ce moment ;Photo;
5-296a;5;38;11:33:34;11:43:16;00:09:00;21/07/2016;G4;11;0;4;7;4;0;3;Travelling, Social;S;Manque des photos ? Sur la derniere photo, certains sont encore assis, il devrait y avoir d'autres prises.;Photos;
5-296b;5;43;11:55:44;12:29:21;00:33:37;21/07/2016;G4;10;0;2;4;4;2;2;"Rest; Social";D;41 sec d'ecart entre la 259 et 260 alors que des individus sont en mouvements,apparition de 8 et 9 dans le champs de la caméra. 8 et 1 identiques ? Photos 266 apparition en plein milieu d'un individu, pourquoi la caméra ne l'as pas capturé avant ? 9/10/11 même individu ?;Photos;
5-296c;5;11;12:48:04;12:58:00;00:09:00;21/07/2016;G4;2;1;0;1;1;0;0;Travelling;D;Manque une partie des photos;Photos;
5-298;5;12;13:07:05;13:21:05;00:14:00;21/07/2016;G4;0;;;;;;;;D;EMPTY;;
5-319;5;2;13:04:14;13:04:15;00:00:00;27/07/2016;G4;2;0;0;2;0;0;2;Travelling;D;Photo sombre, individus aux loin, peu visible. Bizarre de n'avoir que 2 photos puisque les individus se dirigent vers la caméra;Photos;
9-55;9;16;15:29:38;15:32:06;00:02:00;28/07/2016;G10;10;1;1;6;4;0;4;Travelling;D;;Photos;
9-56;9;19;09:50:03;09:51:33;00:01:00;29/07/2016;G10;10;2;1;7;3;0;4;Travelling, Food;D;;Photos;
10-56;10;1;10:50:10;10:50:10;00:00:00;31/07/2016;G2;1;1;0;1;0;0;0;;;Seulement une photo;Photos;
5-359;5;4;09:49:33;09:53:37;00:04:00;06/08/2016;G4;1;1;0;1;0;0;0;Travelling;ND;Pas certain que l'individu sur la premiere photo soit le meme que l'individu sur les autres photo;Photos;
9-69;9;43;11:06:06;11:21:40;00:15:00;08/08/2016;G10;10;2;0;7;2;1;5;Travelling, Food;ND;Manque des photos. 10 minutes d'ecart entre la premiere photos (191) et la deuxieme photo (196), manque 5 photos ? ;Photos;
9-71;9;41;13:00:52;13:02:40;00:01:00;08/08/2016;G10;14;1;0;8;5;1;7;Travelling;D;;Photos;
5-397;5;8;12:11:27;12:11:38;00:00:00;10/08/2016;G4;0;;;0;;;;;;EMPTY;;
9-78;9;52;13:47:17;13:56:33;00:09:00;13/08/2016;G10;7;1;3;5;2;0;1;Food;ND;;Photos;
11-146;11;2;13:36:45;13:37:04;00:00:00;14/08/2016;G7;22;1;3;12;7;3;8;Travelling;D;;Videos;
8-97;8;139;07:55:41;08:27:17;00:31:36;17/08/2016;D11;34;4;3;22;9;3;15;Travelling;D;;Photos;Un adulte blessé sur le flanc gauche à 08:27:10, photo 261
8-99;8;22;13:02:08;13:12:54;00:10:00;18/08/2016;D11;8;0;0;6;1;1;6;Travelling;D;;Photos;
5-486;5;23;11:40:26;11:50:14;00:09:00;22/08/2016;G4;2;0;1;2;0;0;1;Travelling;ND;Seulement 8 photos, manque les 10 premieres minutes de l'evenement.;Photos;
9-102;9;28;12:01:08;12:03:58;00:02:00;23/08/2016;G10;9;0;0;4;5;0;4;Travelling;D;;Photos;
5-501;5;25;08:39:31;08:40:19;00:00:00;24/08/2016;G4;27;1;1;13;10;4;11;Travelling;D;;Photos;Individu sur la derniere photo a la queue tordu ?
8-108;8;149;17:03:47;17:53:17;00:49:30;29/08/2016;D11;29;2;7;16;10;3;7;Rest, Social;S;Aller-retour;Photos;Dernieres photos noire et blanc de mauvaise qualité. Fort risque d'erreur dû a de nombreux aller-retour hors et dans le champ de la caméra de certains individus difficilement identifiables et a des temps morts de plusieurs 10aines de secondes.
8-111;8;10;17:08:32;17:13:50;00:05:00;30/08/2016;D11;2;1;0;1;1;0;0;Travelling;D;Manque les premières photos. Débute à 17:11:34;Photos;
9-165;9;6;12:20:29;12:22:07;00:01:00;31/08/2016;G10;1;0;0;1;0;0;1;Travelling;D;;Photos;
7-8;7;7;13:25:39;13:27:02;00:01:00;02/09/2016;F1;3;0;0;3;0;0;3;Travelling;D;3 photos sur 7 ;Photos;
8-124a;8;50;14:20:30;14:28:50;00:08:00;04/09/2016;D11;26;2;1;11;11;4;8;Travelling;D;;Photos;
8-124b;8;40;14:42:10;14:49:30;00:07:00;04/09/2016;D11;17;1;2;8;7;2;5;Travelling, Social;D;;Photos;
8-124c;8;19;16:36:40;16:46:09;00:09:00;04/09/2016;D11;6;0;2;3;2;1;1;Travelling, Social;D;;Photos;
